tag,indie_count,non_indie_count,indie_share,non_indie_share,lift
Short,1504.0,110.0,0.023018059381695745,0.004530850976192438,5.0802949606255385
GameMaker,148.0,16.0,0.00226507499234772,0.0006590328692643545,3.4369681665136214
Experimental,1003.0,113.0,0.015350474441383532,0.004654419639179504,3.2980426414859236
Difficult,4980.0,600.0,0.07621671258034894,0.024713732597413295,3.0839822467095197
Time Attack,261.0,34.0,0.003994490358126722,0.0014004448471867535,2.8523010857235453
Touch-Friendly,206.0,27.0,0.00315273951637588,0.0011121179668835983,2.8348966658730967
Fast-Paced,1476.0,195.0,0.022589531680440773,0.00803196309415932,2.8124546160909802
Metroidvania,1003.0,134.0,0.015350474441383532,0.005519400280088969,2.7811852125963386
Precision Platformer,1714.0,229.0,0.02623201714110805,0.009432407941346074,2.781052018130224
Puzzle-Platformer,3023.0,409.0,0.04626568717477808,0.016846527720570062,2.746304042125336
Abstract,1599.0,220.0,0.024471992653810837,0.009061701952384876,2.7005956256782704
Twin Stick Shooter,915.0,127.0,0.014003673094582185,0.005231073399785814,2.677017129057215
Sokoban,486.0,69.0,0.00743801652892562,0.002842079248702529,2.617103844771829
Platformer,6636.0,955.0,0.10156106519742883,0.03933602438421616,2.581884335982384
Walking Simulator,2473.0,361.0,0.03784817875726967,0.014869429112777,2.5453686533767117
Perma Death,1372.0,201.0,0.020997857361493726,0.008279100420133453,2.53624866180271
Side Scroller,3286.0,490.0,0.05029078665442302,0.02018288162122086,2.491754527338943
Philosophical,675.0,102.0,0.010330578512396695,0.00420133454156026,2.4588802463134014
Minimalist,4102.0,623.0,0.06277930823385369,0.025661092346980805,2.4464784033731943
Party Game,321.0,50.0,0.004912764003673095,0.002059477716451108,2.3854416896235078
Surreal,2159.0,342.0,0.033042546678910316,0.014086827580525579,2.345634351668376
Kickstarter,154.0,25.0,0.0023569023569023568,0.001029738858225554,2.2888350168350167
Psychedelic,1179.0,194.0,0.018044077134986226,0.0079907735398303,2.2581139416659566
Spaceships,115.0,19.0,0.0017600244872972145,0.0007826015322514211,2.24894076329483
Soundtrack,661.0,111.0,0.010116314661769207,0.0045720405305214595,2.212647633859755
Rogue-lite,3318.0,559.0,0.050780532598714415,0.023024960869923387,2.205455761058298
Rogue-like,3577.0,603.0,0.05474441383532293,0.024837301260400364,2.204120860852355
Psychological,1420.0,242.0,0.021732476277930825,0.009967872147623362,2.180252310229771
Mouse only,425.0,73.0,0.006504438322620141,0.003006837466018618,2.163215802692764
Bullet Hell,2569.0,456.0,0.039317416590143865,0.018782436774034104,2.093307543805949
Roguelike Deckbuilder,296.0,54.0,0.00453014998469544,0.0022242359337671966,2.0367218764525163
Thriller,1467.0,268.0,0.022451790633608814,0.011038800560177938,2.0338976604580403
Underground,401.0,75.0,0.0061371288644015915,0.003089216574676662,1.9866295275992245
Psychological Horror,4373.0,818.0,0.06692684419957147,0.033693055441140124,1.9863690996053744
Action Roguelike,2466.0,463.0,0.03774104683195592,0.01907076365433726,1.9790002915469243
Bullet Time,491.0,93.0,0.007514539332721151,0.0038306285525990607,1.961698773331227
Runner,1165.0,222.0,0.017829813284358738,0.009144081061042919,1.949874805935412
Blood,388.0,74.0,0.005938169574533211,0.00304802702034764,1.948201093655639
Lovecraftian,591.0,113.0,0.009044995408631773,0.004654419639179504,1.9433132613341784
Pixel Graphics,9909.0,1906.0,0.15165289256198347,0.07850729055111624,1.9317045779747295
Top-Down Shooter,1847.0,358.0,0.028267523722069178,0.014745860449789934,1.9169802819117192
Replay Value,1754.0,341.0,0.0268441995714723,0.014045638026196556,1.9112125430973739
Stylized,5019.0,978.0,0.07681359044995409,0.04028338413378367,1.906830622642112
Idler,1066.0,208.0,0.016314661769207223,0.008567427300436609,1.9042661463116008
Music,876.0,174.0,0.013406795224977043,0.007166982453249856,1.8706331866206474
Open World Survival Craft,437.0,87.0,0.006688093051729415,0.003583491226624928,1.8663623345963993
Traditional Roguelike,255.0,51.0,0.0039026629935720843,0.00210066727078013,1.8578206305479033
Procedural Generation,2677.0,538.0,0.040970309152127335,0.02215998022901392,1.8488423152329878
Parody,485.0,98.0,0.007422711968166513,0.0040365763242441715,1.8388632771749656
Survival Horror,2567.0,521.0,0.03928680746862565,0.021459757805420546,1.8307199841138073
Puzzle,11569.0,2354.0,0.1770584634220998,0.09696021089051816,1.826094042039821
Nonlinear,1036.0,211.0,0.015855524946434038,0.008690995963423676,1.8243622495238179
Horror,6932.0,1415.0,0.10609121518212428,0.05828321937556635,1.8202703337043205
Roguevania,107.0,22.0,0.001637588001224365,0.0009061701952384875,1.8071527951693243
Voxel,465.0,96.0,0.007116620752984389,0.0039541972155861275,1.7997637358432812
Addictive,304.0,63.0,0.004652586470768289,0.002594941922728396,1.7929443545605162
Hand-drawn,3064.0,638.0,0.04689317416590144,0.02627893566191614,1.784439627585823
Narrative,288.0,60.0,0.004407713498622589,0.00247137325974133,1.7835078053259867
2D Platformer,4454.0,928.0,0.06816651362105908,0.038223906417332566,1.7833476483750779
Hacking,301.0,63.0,0.0046066727884909705,0.002594941922728396,1.7752508247457741
Cozy,453.0,95.0,0.006932966023875115,0.003913007661257105,1.7717742013435795
4 Player Local,1155.0,245.0,0.017676767676767676,0.01009144081061043,1.7516594516594515
Outbreak Sim,127.0,27.0,0.001943679216406489,0.0011121179668835983,1.7477275561450647
Shoot 'Em Up,2569.0,557.0,0.039317416590143865,0.022942581761265343,1.7137311310152832
Music-Based Procedural Generation,173.0,38.0,0.002647689011325375,0.0015652030645028421,1.6915945741304592
Supernatural,1185.0,262.0,0.018135904499540865,0.010791663234203806,1.6805476696177601
Level Editor,903.0,202.0,0.01382001836547291,0.008320289974462476,1.6610020092918383
Time Manipulation,421.0,95.0,0.006443220079583716,0.003913007661257105,1.6466157588645627
RPGMaker,1241.0,282.0,0.018992959902050813,0.011615454320784249,1.6351456755389704
Dark Comedy,632.0,144.0,0.009672482399755126,0.005931295823379191,1.6307536645920484
Mining,351.0,80.0,0.005371900826446281,0.0032951643463217726,1.6302376033057853
Mystery Dungeon,552.0,126.0,0.00844811753902663,0.005189883845456792,1.627804742956258
Survival,4644.0,1066.0,0.07107438016528926,0.04390806491473762,1.6187090071790737
Early Access,7449.0,1738.0,0.11400367309458219,0.07158744542384052,1.5925093068988874
Interactive Fiction,2228.0,522.0,0.034098561371288645,0.021500947359749566,1.585909718337444
Creature Collector,631.0,148.0,0.009657177838996021,0.00609605404069528,1.5841686728050366
Relaxing,6193.0,1453.0,0.09478114478114479,0.0598484224400692,1.5836866022000227
Parkour,866.0,204.0,0.013253749617385981,0.00840266908312052,1.5773261431906709
Dark,4130.0,976.0,0.06320783593510866,0.04020100502512563,1.572294918885828
Rhythm,754.0,179.0,0.011539638812366085,0.007372930224894967,1.565136039590077
Faith,286.0,68.0,0.004377104377104377,0.002800889694373507,1.562755000990295
Conversation,1137.0,271.0,0.017401285583103766,0.011162369223165006,1.5589240272568015
Unforgiving,134.0,32.0,0.002050811141720233,0.001318065738528709,1.5559247780838692
Cats,829.0,198.0,0.01268748086929905,0.008155531757146388,1.555690204771931
Memes,1214.0,290.0,0.018579736761554944,0.011944970755416427,1.555444307231141
2D,18311.0,4384.0,0.2802418120599939,0.18057500617843314,1.5519413123158148
Exploration,8902.0,2151.0,0.1362411998775635,0.08859873136172666,1.5377330779300264
Party,240.0,58.0,0.0036730945821854912,0.0023889941510832854,1.5375067287292992
Escape Room,302.0,73.0,0.004621977349250076,0.003006837466018618,1.5371556997957991
Score Attack,2038.0,493.0,0.031190694827058465,0.020306450284207925,1.5359993691913294
Funny,6796.0,1644.0,0.10400979491888583,0.06771562731691243,1.5359791977133275
Arcade,7942.0,1924.0,0.12154882154882155,0.07924870252903864,1.5337641837641838
Arena Shooter,1211.0,294.0,0.018533823079277624,0.012109728972732514,1.5304903289751774
3D Platformer,2670.0,649.0,0.04086317722681359,0.02673202075953538,1.528622830065609
Dark Humor,1291.0,315.0,0.01975818794000612,0.01297470961364198,1.5228231327221227
Clicker,1534.0,377.0,0.02347719620446893,0.015528461982041355,1.5118816165838107
Atmospheric,11060.0,2720.0,0.16926844199571472,0.11203558777494027,1.5108453069014567
Cooking,435.0,107.0,0.006657483930211203,0.004407282313205371,1.510564437922127
Retro,6367.0,1573.0,0.09744413835322926,0.06479116895955185,1.5039725307944694
Loot,898.0,222.0,0.01374349556167738,0.009144081061042919,1.5029936272360516
Souls-like,853.0,211.0,0.0130547903275176,0.008690995963423676,1.5021052112392053
Physics,3868.0,957.0,0.059198041016222835,0.039418403492874204,1.5017868754355883
Demons,1256.0,311.0,0.019222528313437404,0.012809951396325892,1.5005933839023577
Logic,2863.0,711.0,0.04381695745332109,0.029285773127934754,1.4961857848828826
Steampunk,362.0,90.0,0.005540250994796449,0.0037070598896119943,1.4945134850185355
Automation,579.0,144.0,0.008861340679522498,0.005931295823379191,1.4939974237322722
Top-Down,4988.0,1243.0,0.0763391490664218,0.051198616030974545,1.4910393089578344
Programming,323.0,81.0,0.004943373125191307,0.003336353900650795,1.481669293004871
Character Action Game,437.0,110.0,0.006688093051729415,0.004530850976192438,1.4761229373626066
Casual,25390.0,6442.0,0.3885827976737068,0.26534310898756075,1.464454076672191
Collectathon,1131.0,287.0,0.017309458218549127,0.01182140209242936,1.4642474795468143
Linear,4017.0,1022.0,0.06147842056932966,0.04209572452426065,1.4604433410784592
Noir,558.0,142.0,0.008539944903581268,0.005848916714721147,1.4600900166841269
Dynamic Narration,304.0,78.0,0.004652586470768289,0.0032127852376637287,1.4481473632988784
Conspiracy,397.0,102.0,0.006075910621365167,0.00420133454156026,1.4461858633872895
Typing,262.0,68.0,0.004009794918885828,0.002800889694373507,1.4316147211869137
Robots,1294.0,337.0,0.01980410162228344,0.013880879808880468,1.4267180391269951
Beautiful,492.0,129.0,0.007529843893480257,0.005313452508443859,1.4171282949295634
Tower Defense,1390.0,365.0,0.021273339455157636,0.01503418733009309,1.414997630937855
LGBTQ+,1053.0,277.0,0.016115702479338842,0.011409506549139138,1.4124802339111495
Multiple Endings,3542.0,932.0,0.054208754208754206,0.038388664634648656,1.4121031487984277
Farming Sim,554.0,146.0,0.008478726660544842,0.006013674932037236,1.4099077114021072
Cute,8389.0,2218.0,0.12838996020814203,0.09135843150177116,1.405343306552422
Space,2990.0,795.0,0.04576063666972758,0.03274569569157262,1.3974550151794292
Capitalism,545.0,145.0,0.008340985613712886,0.005972485377708213,1.3965686119291134
Cartoony,4045.0,1082.0,0.061906948270584634,0.044567097784001974,1.3890729113800868
Dungeon Crawler,1893.0,507.0,0.028971533516988064,0.020883104044814235,1.3873193110955349
Local Co-Op,1866.0,502.0,0.028558310376492195,0.020677156273169125,1.381152707809716
Colorful,9312.0,2521.0,0.14251606978879705,0.10383886646346487,1.3724732813694625
Mystery,4128.0,1118.0,0.06317722681359045,0.046049921739846775,1.37192908101999
Action,25424.0,6891.0,0.3891031527395164,0.2838372188812917,1.3708672677710025
Nature,1862.0,505.0,0.02849709213345577,0.02080072493615619,1.3700047580515626
Action-Adventure,6321.0,1715.0,0.09674012855831038,0.070640085674273,1.3694792076610258
2D Fighter,784.0,213.0,0.01199877563513927,0.00877337507208172,1.367635093285968
Illuminati,215.0,59.0,0.003290480563207836,0.0024301837054123074,1.3540048663315227
Western,251.0,69.0,0.0038414447505356595,0.002842079248702529,1.3516318210652862
Text-Based,1684.0,463.0,0.025772880318334863,0.01907076365433726,1.3514341001480212
Spelling,149.0,41.0,0.002280379553106826,0.0016887717274899085,1.3503184095201834
