appid,name,genres_items,categories_items,tags_items,genres_item_count,categories_item_count,tags_item_count,review_count_calc,positive_rate_calc,recommendations,peak_ccu,attention_score_descriptive,is_indie_positioned
730,Counter-Strike 2,"['Action', 'Free To Play']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'e-sports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']",2,11,20,8615921,86.82545951848908,4401572,1212356,7.34571326625725,False
578080,PUBG: BATTLEGROUNDS,"['Action', 'Adventure', 'Massively Multiplayer', 'Free To Play']","['Multi-player', 'PvP', 'Online PvP', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet']","['Survival', 'Shooter', 'Battle Royale', 'Multiplayer', 'FPS', 'PvP', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Tactical', 'Co-op', 'First-Person', 'Strategy', 'Early Access', 'Competitive', 'Third Person', 'Team-Based', 'Difficult', 'Simulation', 'Stealth']",4,6,20,2512396,59.22474004894133,1732007,616738,6.869765851489059,False
570,Dota 2,"['Action', 'Strategy', 'Free To Play']","['Multi-player', 'Co-op', 'Steam Trading Cards', 'Steam Workshop', 'SteamVR Collectibles', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Steam Timeline']","['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'e-sports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', 'Difficult', 'Co-op', 'RTS', 'RPG', 'Tower Defense', 'Fantasy', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']",3,8,20,2449800,81.57653686015185,14337,555977,6.222962492799572,False
271590,Grand Theft Auto V Legacy,"['Action', 'Adventure']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV']","['Open World', 'Action', 'Multiplayer', 'Crime', 'Automobile Sim', 'Third Person', 'First-Person', 'Mature', 'Shooter', 'Adventure', 'Singleplayer', 'Third-Person Shooter', 'Racing', 'Co-op', 'Sandbox', 'Atmospheric', 'Funny', 'Great Soundtrack', 'Comedy', 'Moddable']",2,11,20,1969962,87.30879072794298,1803063,117698,6.383904905833795,False
359550,Tom Clancy's Rainbow Six® Siege,['Action'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Remote Play on Phone', 'Remote Play on Tablet']","['FPS', 'PvP', 'e-sports', 'Multiplayer', 'Tactical', 'Shooter', 'Competitive', 'Online Co-Op', 'Action', 'Hero Shooter', 'Team-Based', 'Military', 'Strategy', 'First-Person', 'Co-op', 'War', 'Realistic', 'Destruction', 'Difficult', '3D']",1,11,20,1371209,84.06909522910074,1165929,89916,6.203751345991983,False
440,Team Fortress 2,"['Action', 'Free To Play']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'In-App Purchases', 'Partial Controller Support', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet']","['Free to Play', 'Hero Shooter', 'Multiplayer', 'FPS', 'Shooter', 'Action', 'Class-Based', 'Team-Based', 'Funny', 'First-Person', 'Online Co-Op', 'Competitive', 'Cartoony', 'Trading', 'Co-op', 'Comedy', 'Robots', 'Tactical', 'Cartoon', 'Crafting']",2,14,20,1146252,89.47709578696482,41587,50817,5.594051209519459,False
105600,Terraria,"['Action', 'Adventure', 'Indie', 'RPG']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Family Sharing']","['Open World Survival Craft', 'Sandbox', 'Survival', '2D', 'Multiplayer', 'Adventure', 'Pixel Graphics', 'Crafting', 'Building', 'Exploration', 'Co-op', 'Open World', 'Online Co-Op', 'Indie', 'Action', 'RPG', 'Singleplayer', 'Replay Value', 'Platformer', 'Atmospheric']",4,14,20,1379233,97.50150989716748,1098792,30516,5.898451015372795,True
252490,Rust,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']","['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Tablet']","['Survival', 'Crafting', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Building', 'PvP', 'Sandbox', 'Adventure', 'First-Person', 'Action', 'Nudity', 'FPS', 'Shooter', 'Co-op', 'Online Co-Op', 'Indie', 'Post-apocalyptic', 'Early Access', 'Simulation']",5,14,20,1195980,87.2680145152929,992825,200902,6.386395699924063,True
4000,Garry's Mod,"['Casual', 'Indie', 'Simulation']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor', 'Includes Source SDK', 'Remote Play on Tablet', 'Family Sharing']","['Sandbox', 'Moddable', 'Multiplayer', 'Physics', 'Building', 'Casual', 'Funny', 'First-Person', 'Singleplayer', 'FPS', 'Simulation', 'Online Co-Op', 'Comedy', 'Shooter', 'Co-op', 'Action', 'Indie', 'PvP', 'Realistic', 'Exploration']",3,19,20,1143416,96.78795818844586,984713,32384,5.874993516569538,True
1172470,Apex Legends™,"['Action', 'Adventure', 'Free To Play']","['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases']","['Free to Play', 'Battle Royale', 'Multiplayer', 'FPS', 'Shooter', 'First-Person', 'PvP', 'Action', 'Hero Shooter', 'Team-Based', 'Tactical', 'Sci-fi', 'Survival', 'Loot', 'Co-op', 'Character Customization', 'Funny', 'Lore-Rich', 'Cyberpunk', 'Cinematic']",3,9,20,982513,67.18995066731941,1548,151844,5.453345240469713,False
