tag,game_count,median_owner_mid,median_review_count,median_positive_rate_30plus,median_recommendations,median_peak_ccu,free_operation_score
Idler,124,150000.0,438.5,78.71754758137648,0.0,11.5,3.0270844424706453
Moddable,54,250000.0,753.0,80.0,0.0,5.0,2.58865685576971
Hentai,58,150000.0,1189.0,83.97553516819572,0.0,2.0,2.321346596460534
MMORPG,229,350000.0,745.0,67.46680286006129,0.0,8.0,2.2261677604565904
Mature,79,150000.0,1071.0,81.59464571511712,0.0,2.0,2.136443483722306
Online Co-Op,370,150000.0,906.5,73.4375,0.0,2.5,1.7298369829660725
Trading,42,75000.0,318.5,72.5363941769317,0.0,4.5,1.7162445469917145
Co-op,559,350000.0,1029.0,73.91127795123535,0.0,2.0,1.655303649083228
Clicker,165,75000.0,326.0,75.9948224852071,0.0,3.0,1.6197881621219956
Classic,68,75000.0,303.5,81.1881188118812,0.0,1.0,1.2210033123397952
Great Soundtrack,328,150000.0,693.0,85.24590163934425,0.0,0.0,1.101648767434548
Short,225,75000.0,389.0,88.63036096088543,0.0,0.0,1.0825152345632811
Base-Building,119,75000.0,377.0,75.86206896551724,0.0,1.0,0.9823824227695176
Dating Sim,101,35000.0,309.0,87.62140938210375,0.0,0.0,0.932058538299796
Football (Soccer),44,150000.0,417.0,74.31192660550458,0.0,1.0,0.9275821430005281
Sandbox,282,75000.0,428.0,73.95301327885598,0.0,1.0,0.9159389023187027
Character Customization,316,75000.0,241.5,77.60505313655275,0.0,1.0,0.9153037515112975
Memes,158,75000.0,474.5,83.97553516819572,0.0,0.0,0.8775644821069917
Management,182,75000.0,215.0,77.43706910373577,0.0,1.0,0.8601016655475983
Sexual Content,237,75000.0,641.0,81.58679654176909,0.0,0.0,0.8496163142166185
Romance,132,35000.0,185.5,88.59039056447632,0.0,0.0,0.7930812453815413
Crafting,202,75000.0,374.0,72.55936675461741,0.0,1.0,0.779147946381236
Open World,490,150000.0,603.0,69.02532084634062,0.0,1.0,0.7504371014276323
Deckbuilding,66,55000.0,171.0,76.37303345260408,0.0,1.0,0.7070036373228336
Building,245,75000.0,217.0,74.08339858238901,0.0,1.0,0.6604644954017468
LGBTQ+,94,35000.0,143.0,87.54562043795622,0.0,0.0,0.6291545285955602
Point & Click,273,35000.0,144.0,86.9762174405436,0.0,0.0,0.5973427489577364
Resource Management,140,35000.0,133.5,75.95570985271485,0.0,1.0,0.5860346049305191
Nudity,242,75000.0,395.0,80.02628120893561,0.0,0.0,0.5670722037545282
Funny,634,35000.0,160.0,85.20231213872832,0.0,0.0,0.5305717288554846
World War II,68,150000.0,467.5,66.85676878764075,0.0,1.0,0.5201941863345897
Female Protagonist,357,35000.0,172.0,84.31372549019608,0.0,0.0,0.5046939745082869
Psychological Horror,405,75000.0,219.0,82.56398239995835,0.0,0.0,0.49216838940517005
Cats,47,35000.0,104.0,87.29053099131839,0.0,0.0,0.4908126631179232
Anime,553,35000.0,243.0,81.83310411197276,0.0,0.0,0.4881622484427899
Visual Novel,413,35000.0,113.0,86.66666666666667,0.0,0.0,0.48500339058991515
e-sports,102,75000.0,325.0,79.0449037776194,0.0,0.0,0.43192576167407
Cute,557,35000.0,95.0,86.84734745229608,0.0,0.0,0.4290929356743299
Loot,58,75000.0,249.5,73.82950926904304,0.0,0.5,0.4145327366336102
Beautiful,56,10000.0,105.5,85.84905660377359,0.0,0.0,0.40898199199460555
Massively Multiplayer,693,150000.0,444.0,65.34218280511422,0.0,1.0,0.40839307850809875
Story Rich,668,35000.0,118.5,85.09524575780912,0.0,0.0,0.4081111875274448
Emotional,140,22500.0,67.5,88.57142857142857,0.0,0.0,0.4022556997549253
Comedy,352,35000.0,93.5,86.20931600086087,0.0,0.0,0.3843030560002561
Multiple Endings,236,35000.0,61.0,88.73239436619718,0.0,0.0,0.37322123846880145
Mystery,284,35000.0,101.5,85.37699075620893,0.0,0.0,0.365482260040996
Hand-drawn,183,35000.0,65.0,87.97814207650273,0.0,0.0,0.3518395381309179
Economy,81,75000.0,232.0,68.51851851851852,0.0,1.0,0.34913752861262487
Surreal,165,35000.0,83.0,86.36363636363636,0.0,0.0,0.3478303561602123
Dark Humor,90,35000.0,75.0,86.85258964143426,0.0,0.0,0.33852157404849836
Detective,79,75000.0,129.0,83.33333333333334,0.0,0.0,0.33410973781021086
Lovecraftian,42,75000.0,176.5,81.25,0.0,0.0,0.3290314168673761
Choices Matter,285,35000.0,76.0,86.40552995391705,0.0,0.0,0.3165167789751527
Experience,43,10000.0,45.0,89.63702963702964,0.0,0.0,0.3119093927682275
