estimated_owners,game_count,owner_lower,owner_upper,owner_mid,median_review_count,median_recommendations,median_peak_ccu
0 - 0,8418,0.0,0.0,0.0,0.0,0.0,0.0
0 - 20000,59320,0.0,20000.0,10000.0,10.0,0.0,0.0
20000 - 50000,9683,20000.0,50000.0,35000.0,89.0,0.0,0.0
50000 - 100000,4552,50000.0,100000.0,75000.0,288.0,149.0,0.0
100000 - 200000,3005,100000.0,200000.0,150000.0,803.0,479.0,2.0
200000 - 500000,2469,200000.0,500000.0,350000.0,2336.0,1544.0,8.0
500000 - 1000000,1038,500000.0,1000000.0,750000.0,7620.0,5348.5,45.0
1000000 - 2000000,574,1000000.0,2000000.0,1500000.0,18712.0,13604.5,176.5
2000000 - 5000000,373,2000000.0,5000000.0,3500000.0,54381.0,38074.0,604.0
5000000 - 10000000,108,5000000.0,10000000.0,7500000.0,123943.5,90788.5,2279.5
10000000 - 20000000,42,10000000.0,20000000.0,15000000.0,275041.0,202017.0,10538.5
20000000 - 50000000,24,20000000.0,50000000.0,35000000.0,726211.0,532564.0,33143.5
50000000 - 100000000,10,50000000.0,100000000.0,75000000.0,835126.0,347099.0,42140.0
100000000 - 200000000,1,100000000.0,200000000.0,150000000.0,8615921.0,4401572.0,1212356.0
200000000 - 500000000,1,200000000.0,500000000.0,350000000.0,2449800.0,14337.0,555977.0
