,Indie,Singleplayer,Action,Casual,Adventure,2D,Simulation,Strategy,3D,Puzzle,Atmospheric,RPG,Colorful,Pixel Graphics,Story Rich,Exploration,Cute,First-Person,Arcade,Fantasy,Early Access,Multiplayer,Funny,Horror,Action-Adventure,Retro,Shooter,Relaxing,Platformer,Family Friendly
Indie,43408,26699,20027,20948,19057,13710,8828,8912,7087,9027,7556,7763,5784,7171,5820,5397,5662,5357,5672,4843,5514,4464,4689,4916,3541,4803,3919,4354,5140,4200
Singleplayer,26699,42723,18486,19501,19386,17542,9619,9291,11027,10234,10454,8142,8436,8457,8753,7868,7780,7560,6891,7195,4671,5583,5776,5653,5518,5959,5059,5981,5248,5700
Action,20027,18486,32315,10868,14581,9444,4673,4598,7584,3378,5863,5721,5087,6312,3515,4583,3755,5779,7155,4240,5049,5621,4239,4187,6281,4821,7264,1313,5472,2514
Casual,20948,19501,10868,31832,11888,11441,7699,7076,6060,8551,5715,4028,7164,4414,4065,3891,6984,3337,5549,3702,3192,3232,4851,2096,2307,2907,2186,6175,3097,5727
Adventure,19057,19386,14581,11888,30772,9434,5096,4421,6319,7012,8483,7939,4828,5360,7939,7912,4745,5647,2538,5387,3286,2724,3800,5551,6197,3430,2680,2452,4621,2847
2D,13710,17542,9444,11441,9434,22695,3458,5288,550,6055,4463,4890,5820,8942,4555,3273,5751,428,4741,4591,1934,1926,3755,1690,2604,4984,2201,3518,4505,3520
Simulation,8828,9619,4673,7699,5096,3458,15663,5135,4175,1945,2980,2606,2277,1535,1996,2666,2237,3052,1494,1132,2700,2164,1940,1373,1000,925,1004,2519,422,1869
Strategy,8912,9291,4598,7076,4421,5288,5135,15465,2908,3172,2096,3648,2314,2247,1476,1510,1899,1181,1082,2548,2437,2445,1533,858,862,1196,938,1937,509,1659
3D,7087,11027,7584,6060,6319,550,4175,2908,14950,3057,4238,2161,3557,596,2180,4239,2130,5549,2671,2224,2568,2408,1950,2915,3384,1121,2557,2141,1395,1898
Puzzle,9027,10234,3378,8551,7012,6055,1945,3172,3057,13923,4591,1272,3481,2150,3087,3341,3138,2549,1538,1660,764,775,1830,2534,1354,1589,439,3343,1723,3050
Atmospheric,7556,10454,5863,5715,8483,4463,2980,2096,4238,4591,13780,2087,3120,2048,4503,4775,2361,4229,1527,2181,1394,1399,1586,3826,2439,1518,1568,2575,1660,1977
