,Indie,Singleplayer,Action,Casual,Adventure,2D,Simulation,Strategy,3D,Puzzle,Atmospheric,RPG,Colorful,Pixel Graphics,Story Rich,Exploration,Cute,First-Person,Arcade,Fantasy,Early Access,Multiplayer,Funny,Horror,Action-Adventure,Retro,Shooter,Relaxing,Platformer,Family Friendly
Indie,1.0,0.4492361017633598,0.35957698937087046,0.3858395343697046,0.3457177584674274,0.2616761781153971,0.1757060685070557,0.17837913572586617,0.13822628776501336,0.1868789334216628,0.15224049000644746,0.15737831208060493,0.11695007784540105,0.14923416299009407,0.1190573602814827,0.10999918473830099,0.11709718114698157,0.11046499639138055,0.1191546573673375,0.10033354741138205,0.11711730846838428,0.09351432880844646,0.09942958926185881,0.1049552723158052,0.07392021376531742,0.10319046084434419,0.08277537226739888,0.09323340471092077,0.11208268824004013,0.08974934290659657
Singleplayer,0.4492361017633598,1.0,0.3268849908049229,0.35421586079122314,0.3582768116209873,0.36640487927145127,0.1972440379765005,0.1900116571568808,0.2363975474853149,0.22050331810738602,0.22701904493040023,0.1687006609618134,0.1829141370338248,0.18352466309324886,0.19336809084080767,0.17138625076239436,0.170801317233809,0.16576402745192623,0.15079434548557924,0.1590688008489565,0.09888016257753128,0.12154924671253158,0.12726111000947407,0.12446881123808265,0.12196901041091046,0.13329903364352183,0.11113796133567662,0.1347436244029918,0.11645142679625438,0.12776831345826234
Action,0.35957698937087046,0.3268849908049229,1.0,0.20398280748512548,0.30060198738300414,0.2072597989729184,0.1079090174344764,0.10647955166504562,0.19112421561956605,0.0788147456836211,0.14572976734937362,0.14204489025722514,0.1302322009165152,0.16690464858004125,0.0876646049481245,0.11816423875209488,0.09587152449766385,0.15627366143861546,0.20427682293153657,0.11223166309325286,0.13850711875565797,0.15840049597024178,0.11608609924416693,0.11479095270733379,0.18435573818608747,0.1360557656488119,0.22074330689518948,0.033973297453943285,0.15891270256142184,0.06723722920566996
Casual,0.3858395343697046,0.35421586079122314,0.20398280748512548,1.0,0.2344033441123117,0.26553869006173697,0.1934616544376319,0.1759279978120882,0.14881390894356858,0.22984087732501882,0.14324385292127229,0.09709299522730559,0.19626859538094846,0.11250732801468152,0.10406266799784963,0.09978458224342207,0.19698208997320546,0.08569814324969825,0.15350355473180446,0.09784849606174341,0.08438417003727497,0.08643560119811725,0.13695265520453967,0.05503768085497466,0.06142008998695456,0.07885528278855283,0.05829022452135886,0.18541873104525117,0.08525573969057974,0.16997091470291448
Adventure,0.3457177584674274,0.3582768116209873,0.30060198738300414,0.2344033441123117,1.0,0.21424840460563668,0.12327342219211883,0.10572508130859001,0.1603684998604167,0.18607860308361862,0.23518811167484543,0.21741749965767493,0.12780263123064298,0.14398151879012544,0.23261742213366932,0.23330286320879898,0.12952448545067424,0.1587618431780483,0.06661417322834645,0.15352389637778222,0.08960270498732037,0.07394136807817589,0.10730825708799277,0.16536582459485225,0.1900279046947349,0.09721671107080097,0.07455213085568042,0.06817549908246677,0.13695098097326774,0.08016556850819395
2D,0.2616761781153971,0.36640487927145127,0.2072597989729184,0.26553869006173697,0.21424840460563668,1.0,0.09908309455587393,0.16086639084935508,0.01482679606415959,0.19811536825573406,0.13941646882419093,0.15530218820465588,0.20273094607774836,0.3497340425531915,0.15474249218643837,0.10739950779327317,0.20874015462233675,0.013084283574332794,0.17041696621135874,0.1650963751438435,0.06457860291171363,0.0651534115895944,0.13714390065741416,0.05757699645680022,0.09258008319408398,0.1943004171377334,0.07763668430335097,0.13115609737911493,0.17474108839843294,0.13151995217456283
Simulation,0.1757060685070557,0.1972440379765005,0.1079090174344764,0.1934616544376319,0.12327342219211883,0.09908309455587393,1.0,0.19755318739660677,0.1579166351463802,0.07036648457002279,0.1126100593281185,0.09746063801937245,0.09028906776636662,0.05916817638669391,0.0799583383407443,0.11085239085239085,0.09308034785503266,0.13237909347213186,0.0621593509465363,0.0467093047245719,0.12189616252821671,0.09707953882732942,0.08753327618102243,0.06065291337191324,0.044054804176395436,0.04078842931475439,0.04459249389296025,0.12116402116402117,0.018482831114225648,0.08740588317822569
Strategy,0.17837913572586617,0.1900116571568808,0.10647955166504562,0.1759279978120882,0.10572508130859001,0.16086639084935508,0.19755318739660677,1.0,0.10571854437052387,0.1209948123283491,0.0772035802423662,0.1430644338993686,0.09261927633685559,0.08976151480046339,0.0583745303539648,0.06038067818298144,0.07855872254167873,0.04775962471692009,0.04462039671739041,0.11263869855444056,0.10970065271213145,0.11209426004034477,0.06852315394242804,0.03737910603816328,0.03807588674411414,0.053852041964969156,0.0419068042710986,0.09148011712477566,0.022575065418902737,0.0775414816545922
3D,0.13822628776501336,0.2363975474853149,0.19112421561956605,0.14881390894356858,0.1603684998604167,0.01482679606415959,0.1579166351463802,0.10571854437052387,1.0,0.1184149364735048,0.173036093418259,0.08163650787654414,0.1531473348833204,0.02277503916848179,0.09058422670988116,0.19477118176805736,0.09092073248815469,0.2796170319979844,0.12061413411605329,0.09915292019616585,0.11905976169502527,0.11287147276647605,0.09095149253731344,0.14301834952408987,0.17263544536271808,0.05149524553263816,0.12627784088103117,0.10466878513810804,0.06596992338976639,0.09195290925827238
Puzzle,0.1868789334216628,0.22050331810738602,0.0788147456836211,0.22984087732501882,0.18607860308361862,0.19811536825573406,0.07036648457002279,0.1209948123283491,0.1184149364735048,1.0,0.19864139840775355,0.048304408916568564,0.15627384960718294,0.09114804137697134,0.13948129405385867,0.1544256990986827,0.14669035153328347,0.11683014025116877,0.069120488966788,0.07556789730049619,0.03418956412780811,0.035323609845031904,0.08912482345492621,0.12839481151195783,0.06571220577529725,0.07837624543750617,0.020571696344892223,0.18341929112257216,0.08705977464504068,0.16520420322825263
