tag_a,tag_b,cooccurrence_count,jaccard_similarity
Indie,Singleplayer,26699,0.4492361017633598
Indie,Casual,20948,0.3858395343697046
Singleplayer,2D,17542,0.36640487927145127
Indie,Action,20027,0.35957698937087046
Singleplayer,Adventure,19386,0.3582768116209873
Singleplayer,Casual,19501,0.35421586079122314
2D,Pixel Graphics,8942,0.3497340425531915
Indie,Adventure,19057,0.3457177584674274
Singleplayer,Action,18486,0.3268849908049229
Action,Adventure,14581,0.30060198738300414
Pixel Graphics,Retro,4415,0.2878096479791395
3D,First-Person,5549,0.2796170319979844
Colorful,Cute,4869,0.27710431961755166
Casual,2D,11441,0.26553869006173697
Indie,2D,13710,0.2616761781153971
First-Person,Horror,3896,0.2615642833165492
Atmospheric,Exploration,4775,0.23805962708146375
Singleplayer,3D,11027,0.2363975474853149
Relaxing,Family Friendly,2906,0.23570443669397356
Adventure,Atmospheric,8483,0.23518811167484543
Casual,Adventure,11888,0.2344033441123117
Adventure,Exploration,7912,0.23330286320879898
Adventure,Story Rich,7939,0.23261742213366932
Casual,Puzzle,8551,0.22984087732501882
Singleplayer,Atmospheric,10454,0.22701904493040023
Colorful,Family Friendly,3587,0.22652352383959584
RPG,Fantasy,4294,0.224910957469097
Action,Shooter,7264,0.22074330689518948
Singleplayer,Puzzle,10234,0.22050331810738602
Atmospheric,Story Rich,4503,0.21887911340105964
Adventure,RPG,7939,0.21741749965767493
Adventure,2D,9434,0.21424840460563668
Atmospheric,First-Person,4229,0.21150287571892973
Exploration,First-Person,3747,0.21109859154929578
Cute,Family Friendly,3154,0.2096795638877809
Atmospheric,Horror,3826,0.20905961422873068
2D,Cute,5751,0.20874015462233675
Action,2D,9444,0.2072597989729184
Action,Arcade,7155,0.20427682293153657
Action,Casual,10868,0.20398280748512548
2D,Colorful,5820,0.20273094607774836
Puzzle,Atmospheric,4591,0.19864139840775355
2D,Puzzle,6055,0.19811536825573406
Simulation,Strategy,5135,0.19755318739660677
Singleplayer,Simulation,9619,0.1972440379765005
Casual,Cute,6984,0.19698208997320546
Casual,Colorful,7164,0.19626859538094846
Colorful,Relaxing,3193,0.19605796389537025
Cute,Relaxing,2978,0.19495908346972177
3D,Exploration,4239,0.19477118176805736
2D,Retro,4984,0.1943004171377334
Casual,Simulation,7699,0.1934616544376319
Singleplayer,Story Rich,8753,0.19336809084080767
Cute,Funny,3078,0.1927484501221116
Exploration,Action-Adventure,3073,0.19187062937062938
Action,3D,7584,0.19112421561956605
Adventure,Action-Adventure,6197,0.1900279046947349
Singleplayer,Strategy,9291,0.1900116571568808
Indie,Puzzle,9027,0.1868789334216628
Story Rich,Exploration,3514,0.18656756039288558
Adventure,Puzzle,7012,0.18607860308361862
Casual,Relaxing,6175,0.18541873104525117
Action,Action-Adventure,6281,0.18435573818608747
Arcade,Retro,2762,0.18359478862004786
Singleplayer,Pixel Graphics,8457,0.18352466309324886
Puzzle,Relaxing,3343,0.18341929112257216
Singleplayer,Colorful,8436,0.1829141370338248
Indie,Strategy,8912,0.17837913572586617
