tag,game_count,reliable_review_game_count,median_review_count,mean_review_count,median_positive_rate_30plus,median_recommendations,median_peak_ccu,mean_attention_score,free_share,median_price,median_release_year,game_share,competition_level
Games Workshop,79,66,1313.0,14506.113924050633,78.04853314689743,1043.0,11.0,1.8240122273807744,0.13924050632911392,9.99,2018.0,0.0008815193376330648,Low
Mod,64,56,2001.5,16501.9375,83.71729957805908,409.5,15.0,1.7678030383358367,0.265625,9.49,2018.0,0.0007141422482090651,Low
Epic,111,94,1002.0,15739.855855855856,87.90894827232827,507.0,3.0,1.5135038255520719,0.04504504504504504,12.99,2018.0,0.0012385904617375973,Low
Moddable,791,605,407.0,27808.13906447535,84.69195751138088,287.0,4.0,1.4449781775862283,0.06826801517067003,12.99,2021.0,0.008826351848958915,High
Dwarf,119,104,489.0,8608.714285714286,80.16183099225458,240.0,2.0,1.2994323145079372,0.14285714285714285,7.99,2018.0,0.0013278582427637305,Low
Cult Classic,258,234,668.5,2739.5658914728683,87.31894553881807,455.0,2.0,1.2946445223004368,0.09302325581395349,9.99,2017.0,0.002878885938092794,Medium
Kickstarter,179,159,792.0,4244.7206703910615,82.87425149700599,477.0,1.0,1.215303077460392,0.05027932960893855,14.99,2017.0,0.0019973666004597292,Low
Remake,383,299,340.0,8583.770234986945,85.06276150627615,237.0,2.0,1.2078893688092749,0.028720626631853787,11.99,2019.0,0.004273695016626124,Medium
Real-Time with Pause,285,220,289.0,7732.087719298245,79.72384507194634,209.0,2.0,1.1974267295396637,0.02456140350877193,9.99,2019.0,0.0031801646990559933,Medium
Classic,1145,1007,381.0,4782.364192139738,84.72222222222221,255.0,2.0,1.193930047985504,0.059388646288209605,6.99,2017.0,0.012776451159365307,High
Great Soundtrack,3897,3334,445.0,9176.306389530408,85.6668815454363,265.0,1.0,1.1526420684828351,0.08416730818578394,9.99,2017.0,0.04348456783235511,Very High
MMORPG,393,312,420.0,11915.613231552163,68.78994089293116,0.0,2.0,1.1426519603749203,0.5826972010178118,0.0,2020.0,0.004385279742908791,Medium
Based On A Novel,57,45,216.0,6352.701754385965,82.92560153025269,170.0,3.0,1.1134763903362819,0.03508771929824561,9.99,2017.0,0.0006360329398111986,Low
Open World Survival Craft,524,362,155.5,19982.496183206105,72.02460905741037,102.0,1.0,1.0672689517138645,0.07061068702290077,11.99,2021.0,0.005847039657211721,Medium
Online Co-Op,2717,1856,140.0,18784.962826647035,78.97331602937453,0.0,1.0,1.020915699889787,0.13617960986382038,7.99,2022.0,0.03031757013100047,Very High
Crowdfunded,103,89,321.0,3628.0776699029125,86.56716417910447,201.0,1.0,1.0207122818289363,0.07766990291262135,10.49,2018.0,0.0011493226807114641,Low
4X,382,275,161.5,4308.102094240838,77.39307535641548,108.0,2.0,1.0121167747056863,0.04450261780104712,12.24,2021.0,0.004262536543997858,Medium
Villain Protagonist,212,176,404.5,2209.3584905660377,82.39468002113038,302.0,1.0,1.0083114786537435,0.04245283018867924,9.99,2020.0,0.002365596197192528,Low
Dungeons & Dragons,78,61,113.5,11721.78205128205,83.01886792452831,0.0,2.0,1.0049531718919529,0.14102564102564102,8.99,2021.0,0.0008703608650047982,Low
Co-op,4584,3083,130.0,14807.507417102966,80.09004502251126,0.0,0.0,0.9458509545839611,0.12194589877835951,8.99,2021.0,0.05115043852797429,Very High
