tag,game_count,reliable_review_game_count,median_review_count,mean_review_count,median_positive_rate_30plus,median_recommendations,median_peak_ccu,mean_attention_score,free_share,median_price,median_release_year,game_share,competition_level
Sokoban,555,180,16.0,135.46666666666667,93.95245559038662,0.0,0.0,-0.15142266600709878,0.03963963963963964,3.99,2022.0,0.0061929523086879865,Medium
Cozy,548,330,48.0,744.8795620437957,93.20880894730773,0.0,1.0,0.48795933303002975,0.01824817518248175,4.99,2024.0,0.00611484300029012,Medium
Wholesome,419,255,55.0,727.1360381861575,92.40506329113924,0.0,0.0,0.41665073732546715,0.00954653937947494,4.99,2023.0,0.0046754000312437234,Medium
Electronic Music,97,31,15.0,307.11340206185565,90.24687065368568,0.0,0.0,-0.020684636478106463,0.07216494845360824,5.99,2022.0,0.0010823718449418645,Low
Faith,354,183,31.0,643.3870056497175,89.84375,0.0,0.0,0.17368669758138805,0.05649717514124294,4.99,2022.0,0.003950099310406392,Medium
LEGO,115,59,30.0,2789.8608695652174,89.27414128321452,0.0,0.0,0.6411099302167448,0.06086956521739131,5.99,2021.0,0.0012832243522506639,Low
Narrative,348,234,75.5,1362.462643678161,89.27111923485162,0.0,0.0,0.5100311112254539,0.05459770114942529,9.99,2023.0,0.0038831484746367916,Medium
Nostalgia,204,134,155.5,2894.357843137255,89.24266197700075,124.0,1.0,0.9372364468490175,0.058823529411764705,6.99,2021.0,0.002276328416166395,Low
Touch-Friendly,233,178,241.0,3700.5236051502147,89.10057333970377,133.0,0.0,0.8227848685409378,0.06437768240343347,4.99,2017.0,0.0025999241223861277,Medium
Programming,404,198,27.5,660.2673267326733,89.09053791977136,0.0,0.0,0.25137992761192435,0.06930693069306931,7.99,2021.0,0.004508022941819723,Medium
Foreign,200,92,20.0,698.245,88.93424036281179,0.0,0.0,0.21366616777938005,0.09,4.99,2022.0,0.0022316945256533284,Low
Philosophical,777,353,24.0,687.2471042471043,88.88888888888889,0.0,0.0,0.08782254098823063,0.09266409266409266,4.99,2022.0,0.008670133232163181,High
Time Attack,295,130,24.0,422.35593220338984,88.80705528390189,0.0,0.0,0.0677000335273644,0.05423728813559322,3.99,2021.0,0.0032917494253386598,Medium
Boomer Shooter,300,188,76.5,1465.04,88.54088522130533,0.0,0.0,0.49118237031775813,0.04666666666666667,9.99,2023.0,0.003347541788479993,Medium
Unforgiving,166,75,24.5,1234.5963855421687,88.46802113702624,0.0,0.0,0.12231670707750165,0.03614457831325301,4.99,2021.0,0.0018523064562922626,Low
Dark Comedy,776,410,34.5,899.2048969072165,88.12656641604009,0.0,0.0,0.2257526476528275,0.07603092783505154,4.99,2022.0,0.008658974759534916,High
Epic,111,94,1002.0,15739.855855855856,87.90894827232827,507.0,3.0,1.5135038255520719,0.04504504504504504,12.99,2018.0,0.0012385904617375973,Low
