tag,game_count,reliable_review_game_count,median_review_count,mean_review_count,median_positive_rate_30plus,median_recommendations,median_peak_ccu,mean_attention_score,free_share,median_price,median_release_year,game_share,competition_level
1980s,1914,658,14.0,610.6515151515151,85.88350055741361,0.0,0.0,-0.06205338612510034,0.054336468129571575,4.99,2022.0,0.021357316610502355,High
1990's,2620,1114,20.0,504.6209923664122,86.89812033301862,0.0,0.0,0.09521516117656935,0.038549618320610685,4.99,2023.0,0.029235198286058604,Very High
2.5D,1810,787,20.0,971.8403314917127,84.7457627118644,0.0,0.0,0.15146173877376,0.061878453038674036,5.99,2022.0,0.020196835457162624,High
2D,22695,9694,20.0,989.5547477417933,86.55341965112225,0.0,0.0,0.09891094729593672,0.06093853271645737,4.99,2022.0,0.2532415362985115,Very High
2D Fighter,997,374,15.0,1766.3440320962889,84.08535964783992,0.0,0.0,0.07410053762926032,0.07422266800401203,4.99,2021.0,0.011124997210381843,High
2D Platformer,5382,1588,12.0,419.8719806763285,88.31739782527183,0.0,0.0,-0.10972004774111292,0.052954292084726864,4.99,2022.0,0.06005489968533107,Very High
360 Video,86,36,15.0,152.7325581395349,68.72727272727272,0.0,0.0,-0.05459988196309602,0.20930232558139536,4.99,2021.0,0.0009596286460309312,Low
3D,14950,5382,15.0,992.9434782608696,81.53846153846153,0.0,0.0,0.031279432556732364,0.060535117056856186,4.99,2023.0,0.16681916579258632,Very High
3D Fighter,702,223,12.0,1008.6880341880342,76.92307692307693,0.0,0.0,-0.022844742770178793,0.08262108262108261,4.99,2022.0,0.007833247785043183,Medium
3D Platformer,3319,1057,12.0,830.228080747213,83.49514563106796,0.0,0.0,-0.058034506548583234,0.06447725218439289,4.99,2022.0,0.03703497065321699,Very High
3D Vision,623,221,14.0,1973.5024077046548,78.42227378190255,0.0,0.0,0.036263062058577336,0.07704654895666131,4.99,2022.0,0.006951728447410118,Medium
4 Player Local,1400,655,26.0,1758.765,83.69565217391305,0.0,0.0,0.1894217159460336,0.07142857142857142,7.99,2020.0,0.0156218616795733,High
4X,382,275,161.5,4308.102094240838,77.39307535641548,108.0,2.0,1.0121167747056863,0.04450261780104712,12.24,2021.0,0.004262536543997858,Medium
6DOF,581,219,13.0,334.6884681583477,79.38931297709924,0.0,0.0,-0.06488107487093106,0.07056798623063683,8.99,2022.0,0.006483072597022919,Medium
8-bit Music,46,8,14.5,28.0,88.2622745752111,0.0,0.0,-0.24619167828137253,0.021739130434782608,3.865,2023.0,0.0005132897409002656,Low
ATV,33,15,27.0,2147.6666666666665,80.90692124105013,0.0,0.0,0.5782451098899991,0.030303030303030304,9.99,2021.0,0.0003682295967327992,Low
Abstract,1819,698,18.0,224.74656404617923,88.10969732022363,0.0,0.0,-0.07694125572215076,0.061572292468389224,3.49,2021.0,0.020297261710817024,High
Action,32315,14808,24.0,3199.939687451648,79.64161418627776,0.0,0.0,0.1727477562432679,0.09419774098715766,4.99,2020.0,0.36058604298243657,Very High
Action RPG,3486,1716,28.0,5281.7920252438325,78.96643783371472,0.0,0.0,0.40697569306978976,0.06511761331038439,7.595000000000001,2022.0,0.038898435582137514,Very High
Action RTS,384,146,15.0,773.3307291666666,82.16954022988506,0.0,0.0,0.10028988567168012,0.0546875,6.99,2023.0,0.004284853489254391,Medium
Action Roguelike,2929,1261,20.0,1357.2792762034824,83.89261744966443,0.0,0.0,0.15670823734633296,0.03892113349265961,4.99,2023.0,0.032683166328193,Very High
Action-Adventure,8036,3077,16.0,1361.945744151319,81.57894736842105,0.0,0.0,0.06979877724212809,0.04790940766550523,4.99,2023.0,0.08966948604075074,Very High
Addictive,367,239,67.0,3829.1117166212534,85.52631578947368,0.0,0.0,0.6323706162631596,0.05994550408719346,4.99,2019.0,0.004095159454573858,Medium
Adventure,30772,15230,29.0,2190.4790718835307,81.3953488372093,0.0,0.0,0.2177065077925975,0.07698557129858313,4.99,2021.0,0.34336851971702115,Very High
Agriculture,545,295,38.0,3188.0385321100916,82.45614035087719,0.0,0.0,0.48829797150058685,0.04220183486238532,8.99,2022.0,0.00608136758240532,Medium
Aliens,1630,626,15.0,2200.30245398773,81.17618110236221,0.0,0.0,0.08208440341277753,0.0638036809815951,4.99,2022.0,0.01818831038407463,High
Alternate History,942,489,32.0,2084.643312101911,82.40223463687151,0.0,0.0,0.38729669953961443,0.06157112526539278,7.99,2022.0,0.010511281215827178,High
Ambient,87,31,17.0,1007.3333333333334,83.05084745762711,0.0,0.0,-0.08531709084949989,0.09195402298850575,3.99,2022.0,0.0009707871186591979,Low
America,590,252,20.0,2736.0271186440677,80.64516129032258,0.0,0.0,0.26494991716209537,0.07627118644067797,5.99,2022.0,0.0065834988506773195,Medium
Animation & Modeling,454,204,24.0,2456.854625550661,77.28040540540542,0.0,0.0,0.1868228157976054,0.21585903083700442,5.99,2020.0,0.005065946573233056,Medium
Anime,7171,4736,80.0,1460.933621531167,85.36585365853658,0.0,0.0,0.4587176643202144,0.0771161623204574,6.99,2021.0,0.0800174072173001,Very High
Arcade,9866,3605,15.0,595.9692884654369,84.26966292134831,0.0,0.0,-0.03581638937638693,0.06233529292519765,4.99,2021.0,0.1100894909504787,Very High
Archery,254,91,16.0,670.2519685039371,83.89261744966443,0.0,0.0,-0.030049159013725093,0.05905511811023622,7.390000000000001,2022.0,0.0028342520475797273,Medium
Arena Shooter,1505,545,16.0,723.8179401993356,81.81818181818183,0.0,0.0,-0.0267666403254358,0.10431893687707641,4.99,2022.0,0.016793501305541296,High
Artificial Intelligence,1116,422,16.0,683.989247311828,82.80719229688657,0.0,0.0,0.03894232418609622,0.07168458781362007,5.99,2022.0,0.012452855453145574,High
Assassin,318,153,25.0,4813.726415094339,82.87552155771905,0.0,0.0,0.4114972843394305,0.059748427672955975,4.99,2022.0,0.0035483942957887926,Medium
Asymmetric VR,116,47,17.5,347.37931034482756,85.9375,0.0,0.0,-0.032666682878595435,0.16379310344827586,9.99,2021.0,0.0012943828248789305,Low
Asynchronous Multiplayer,297,154,35.0,789.925925925926,83.38289015376773,0.0,0.0,0.34432125327924606,0.10437710437710437,7.99,2022.0,0.003314066370595193,Medium
Atmospheric,13780,7520,38.0,3816.260449927431,83.33333333333334,0.0,0.0,0.3823474522751357,0.06066763425253991,4.99,2022.0,0.15376375281751434,Very High
Audio Production,220,95,25.0,613.5590909090909,75.90361445783132,0.0,0.0,0.16548658655467632,0.19545454545454546,8.99,2020.0,0.0024548639782186613,Low
Auto Battler,554,264,27.0,575.884476534296,80.0,0.0,0.0,0.25190201318077843,0.07942238267148015,4.99,2023.0,0.00618179383605972,Medium
Automation,723,377,33.0,2388.1134163208853,83.80523948134427,0.0,0.0,0.4676423713729863,0.04702627939142462,5.99,2023.0,0.008067575710236783,High
Automobile Sim,1000,530,38.0,5602.193,76.10424102421189,0.0,0.0,0.4951749343926991,0.045,6.99,2022.0,0.011158472628266643,High
BMX,48,20,21.5,1229.125,79.08054154082507,0.0,0.0,0.17933367127891375,0.020833333333333332,9.99,2022.0,0.0005356066861567989,Low
Base-Building,2107,1274,70.0,4257.41433317513,78.27456011730206,0.0,0.0,0.711491815038986,0.05647840531561462,9.99,2022.0,0.023510901827757818,High
Baseball,71,28,16.0,129.32394366197184,84.95283018867924,0.0,0.0,0.00010877798598638609,0.04225352112676056,7.99,2022.0,0.0007922515566069317,Low
Based On A Novel,57,45,216.0,6352.701754385965,82.92560153025269,170.0,3.0,1.1134763903362819,0.03508771929824561,9.99,2017.0,0.0006360329398111986,Low
Basketball,124,50,16.5,905.491935483871,75.32051282051282,0.0,0.0,0.07323130993623365,0.06451612903225806,6.99,2022.0,0.0013836506059050637,Low
Battle Royale,475,209,19.0,11803.578947368422,71.05263157894737,0.0,0.0,0.12869059213020095,0.23789473684210527,3.99,2021.0,0.005300274498426656,Medium
Beat 'em up,1237,605,28.0,1882.2215036378334,81.81818181818183,0.0,0.0,0.29152371114503656,0.07356507679870655,6.99,2021.0,0.013803030641165837,High
Beautiful,621,417,86.0,5508.093397745572,83.91167192429022,0.0,0.0,0.6196845971386683,0.09017713365539452,5.99,2020.0,0.006929411502153585,Medium
Benchmark,23,17,87.0,3088.782608695652,85.13758146270818,0.0,1.0,0.6299240420762999,0.30434782608695654,3.99,2019.0,0.0002566448704501328,Low
Bikes,140,83,66.0,1019.0285714285715,79.43172179813402,0.0,0.0,0.5803387109146083,0.007142857142857143,9.99,2021.0,0.00156218616795733,Low
Birds,29,11,20.0,591.0689655172414,93.49005424954791,0.0,0.0,0.1818124615472198,0.0,5.99,2023.0,0.00032359570621973263,Low
Blood,462,320,89.5,6185.411255411255,82.86379857256146,0.0,0.0,0.6470522441710357,0.08008658008658008,5.74,2020.0,0.005155214354259189,Medium
Board Game,1698,760,22.0,719.4181389870436,82.0368769806972,0.0,0.0,0.14996775572977636,0.0800942285041225,4.99,2021.0,0.01894708652279676,High
Boomer Shooter,300,188,76.5,1465.04,88.54088522130533,0.0,0.0,0.49118237031775813,0.04666666666666667,9.99,2023.0,0.003347541788479993,Medium
Boss Rush,63,24,22.0,974.8571428571429,89.80689510416121,0.0,0.0,0.1428666229403168,0.031746031746031744,6.99,2023.0,0.0007029837755807985,Low
Bowling,47,13,12.0,247.4255319148936,87.32593559617058,0.0,0.0,-0.10941439132522282,0.06382978723404255,4.99,2022.0,0.0005244482135285323,Low
Boxing,185,64,14.0,337.8810810810811,76.88883816480256,0.0,0.0,-0.05663865220811984,0.043243243243243246,6.99,2022.0,0.002064317436229329,Low
Building,3480,2061,56.0,4903.191091954023,79.050736497545,0.0,0.0,0.6357472617482264,0.07040229885057471,9.99,2022.0,0.03883148474636792,Very High
Bullet Hell,3025,1249,19.0,799.8231404958677,87.21804511278195,0.0,0.0,0.02908646400017877,0.05487603305785124,4.99,2022.0,0.03375437970050659,Very High
Bullet Time,584,229,16.0,627.8715753424658,83.82252559726963,0.0,0.0,0.03239694093599968,0.0702054794520548,4.99,2022.0,0.00651654801490772,Medium
CRPG,933,470,30.0,2098.6709539121116,82.10545323221379,0.0,0.0,0.33217467403003387,0.07181136120042872,7.99,2022.0,0.010410854962172778,High
Capitalism,690,353,31.0,2862.294202898551,82.05128205128204,0.0,0.0,0.39177230412142067,0.0536231884057971,6.99,2023.0,0.007699346113503983,Medium
Card Battler,836,430,31.0,1093.0346889952152,82.27236099919419,0.0,0.0,0.30992657946682334,0.08133971291866028,7.99,2023.0,0.009328483117230913,High
Card Game,1872,886,24.0,942.2713675213676,81.33098245038543,0.0,0.0,0.22119896292195215,0.10950854700854701,5.045,2022.0,0.020888660760115155,High
Cartoon,3076,1187,16.0,900.760078023407,86.33754305396096,0.0,0.0,0.016681073429239062,0.054291287386215865,4.99,2022.0,0.03432346180454819,Very High
Cartoony,5127,1910,16.0,1074.9186658864833,86.84166357484851,0.0,0.0,0.016329936214107825,0.06007411741759314,4.99,2022.0,0.05720948916512308,Very High
Casual,31832,13034,19.0,805.1022555918572,82.4386085293078,0.0,0.0,0.019727308611170308,0.08610831867303342,3.99,2021.0,0.35519650070298375,Very High
Cats,1027,502,29.0,620.6270691333982,92.1792130025663,0.0,0.0,0.10583119744138443,0.045764362220058426,3.99,2022.0,0.011459751389229842,High
Character Action Game,547,287,33.0,1732.8610603290676,79.94588093806374,0.0,0.0,0.2355326526289785,0.09323583180987204,5.99,2020.0,0.006103684527661853,Medium
Character Customization,3591,1908,37.0,5990.241158451685,81.55749919930669,0.0,0.0,0.5456966691732733,0.08799777220829852,7.99,2022.0,0.040070075208105516,Very High
Chess,190,103,35.0,676.8315789473684,81.15942028985508,0.0,0.0,0.037744846627127834,0.08947368421052632,4.99,2021.0,0.0021201097993706623,Low
Choices Matter,4886,2493,31.0,1820.3102742529677,86.15384615384616,0.0,0.0,0.3071269243147408,0.058329922226770366,6.715,2022.0,0.054520297261710815,Very High
Choose Your Own Adventure,2788,1294,24.0,1118.2955523672883,86.34133707574122,0.0,0.0,0.15829442140008726,0.06097560975609756,6.24,2022.0,0.0311098216876074,Very High
Cinematic,1723,881,32.0,2971.5850261172372,81.39962137108432,0.0,0.0,0.3402807212640922,0.047011027278003485,6.99,2023.0,0.019226048338503426,High
City Builder,1353,838,73.0,2959.691056910569,79.21466973886328,0.0,1.0,0.717359317411715,0.0524759793052476,9.99,2022.0,0.015097413466044768,High
Class-Based,566,265,24.0,6301.293286219081,82.05128205128204,0.0,0.0,0.3340077250636018,0.0989399293286219,6.99,2023.0,0.00631569550759892,Medium
Classic,1145,1007,381.0,4782.364192139738,84.72222222222221,255.0,2.0,1.193930047985504,0.059388646288209605,6.99,2017.0,0.012776451159365307,High
Clicker,1911,767,18.0,452.7891156462585,82.24910101340306,0.0,0.0,0.03963697077747538,0.08634222919937205,2.99,2022.0,0.021323841192617553,High
Co-op,4584,3083,130.0,14807.507417102966,80.09004502251126,0.0,0.0,0.9458509545839611,0.12194589877835951,8.99,2021.0,0.05115043852797429,Very High
Co-op Campaign,460,276,52.5,4810.441304347826,83.2426001321593,0.0,0.0,0.5739171635039138,0.04782608695652174,9.99,2021.0,0.0051328974090026555,Medium
Coding,30,13,26.0,452.4,90.0,0.0,0.0,0.21079968481146613,0.03333333333333333,9.99,2022.0,0.0003347541788479993,Low
Cold War,252,165,93.0,4815.039682539683,83.16993464052288,0.0,0.0,0.6141025555480228,0.1111111111111111,6.99,2020.5,0.002811935102323194,Medium
Collectathon,1418,526,17.0,509.8102961918195,89.43381180223285,0.0,0.0,0.03986005642103501,0.04372355430183357,4.99,2023.0,0.015822714186882098,High
Colony Sim,628,414,96.5,2897.611464968153,80.15625,0.0,1.0,0.8534906992448633,0.028662420382165606,9.99,2022.0,0.007007520810551452,Medium
Colorful,11833,4537,17.0,789.5832840361701,86.49468892261002,0.0,0.0,0.037850424787219825,0.05264937040480013,4.99,2022.0,0.13203820661027918,Very High
Combat,6259,2077,13.0,1493.3903179421634,82.42424242424242,0.0,0.0,0.01665103388953614,0.05496085636683176,4.99,2023.0,0.06984088018032092,Very High
Combat Racing,552,201,17.0,774.3822463768116,82.27374123645635,0.0,0.0,0.016669232880949302,0.08333333333333333,4.99,2022.0,0.006159476890803187,Medium
Comedy,5093,2821,42.0,2951.3718829766344,87.17948717948718,0.0,0.0,0.35403120760365653,0.06911447084233262,4.99,2021.0,0.05683010109576201,Very High
Comic Book,1189,555,24.0,1100.202691337258,86.59420289855072,0.0,0.0,0.15155271920533528,0.05550883095037847,5.99,2023.0,0.013267423955009038,High
Competitive,936,618,85.0,23434.22435897436,80.36051211588304,0.0,0.0,0.6783827794526004,0.22008547008547008,5.99,2019.0,0.010444330380057577,High
Conspiracy,499,211,20.0,654.8657314629259,83.81932532875929,0.0,0.0,0.10141224313913826,0.07615230460921844,4.99,2022.0,0.005568077841505055,Medium
Controller,6191,2635,20.0,1675.0739783556776,86.05527638190955,0.0,0.0,0.15761012060382604,0.0481343886286545,5.0,2023.0,0.06908210404159879,Very High
Conversation,1408,625,23.0,597.9524147727273,87.92895845875978,0.0,0.0,0.10108574178742372,0.06534090909090909,5.4399999999999995,2022.0,0.015711129460599434,High
Cooking,542,282,34.0,1192.2656826568266,85.0296309554289,0.0,0.0,0.4482146996191235,0.023985239852398525,7.99,2023.0,0.0060478921645205205,Medium
Cozy,548,330,48.0,744.8795620437957,93.20880894730773,0.0,1.0,0.48795933303002975,0.01824817518248175,4.99,2024.0,0.00611484300029012,Medium
Crafting,2750,1575,46.5,6145.476363636363,77.27272727272727,0.0,0.0,0.5838762234754178,0.07345454545454545,9.99,2022.0,0.03068579972773327,Very High
Creature Collector,779,355,23.0,999.777920410783,85.71428571428571,0.0,0.0,0.18904119972425693,0.025673940949935817,4.99,2023.0,0.008692450177419715,High
Cricket,26,19,55.0,302.0,68.0,0.0,1.0,0.4738020491893216,0.038461538461538464,9.99,2018.0,0.0002901202883349327,Low
Crime,921,477,33.0,5226.345276872964,82.40165631469979,0.0,0.0,0.4414727469266098,0.05428881650380022,6.99,2022.0,0.010276953290633578,High
Crowdfunded,103,89,321.0,3628.0776699029125,86.56716417910447,201.0,1.0,1.0207122818289363,0.07766990291262135,10.49,2018.0,0.0011493226807114641,Low
Cult Classic,258,234,668.5,2739.5658914728683,87.31894553881807,455.0,2.0,1.2946445223004368,0.09302325581395349,9.99,2017.0,0.002878885938092794,Medium
Cute,10607,5055,26.0,1108.809748279438,88.37209302325581,0.0,0.0,0.1782331192280569,0.05251249175073065,4.99,2022.0,0.11835791916802428,Very High
Cyberpunk,1563,777,29.0,2502.0294305822135,83.38918142651987,0.0,0.0,0.237412496799234,0.07357645553422905,5.99,2022.0,0.017440692717980762,High
Cycling,68,33,27.5,762.8970588235294,77.19298245614034,0.0,0.0,0.376361264591286,0.04411764705882353,9.99,2022.0,0.0007587761387221317,Low
