tag,game_count
Indie,43408
Singleplayer,42723
Action,32315
Casual,31832
Adventure,30772
2D,22695
Simulation,15663
Strategy,15465
3D,14950
Puzzle,13923
Atmospheric,13780
RPG,13682
Colorful,11833
Pixel Graphics,11815
Story Rich,11296
Exploration,11053
Cute,10607
First-Person,10444
Arcade,9866
Fantasy,9704
Early Access,9187
Multiplayer,8792
Funny,8440
Horror,8347
Action-Adventure,8036
Retro,7940
Shooter,7856
Relaxing,7646
Platformer,7591
Family Friendly,7589
Sci-fi,7211
Anime,7171
Female Protagonist,6474
Combat,6259
Top-Down,6231
Controller,6191
Stylized,5997
Third Person,5977
Survival,5710
Difficult,5580
2D Platformer,5382
VR,5334
Mystery,5246
Open World,5219
Psychological Horror,5191
Cartoony,5127
Realistic,5118
Dark,5106
Comedy,5093
Visual Novel,5050
Linear,5039
Choices Matter,4886
Physics,4825
Minimalist,4725
Point & Click,4662
FPS,4634
Co-op,4584
Multiple Endings,4474
Violent,4346
PvE,4264
PvP,4234
Rogue-like,4180
Free to Play,4115
Sandbox,3979
Great Soundtrack,3897
Rogue-lite,3877
Space,3785
Hidden Object,3777
Side Scroller,3776
Gore,3738
Old School,3716
Hand-drawn,3702
Character Customization,3591
Logic,3574
Management,3498
Sports,3493
Action RPG,3486
Building,3480
Puzzle-Platformer,3432
Magic,3428
Tactical,3422
3D Platformer,3319
Procedural Generation,3215
Shoot 'Em Up,3126
Survival Horror,3088
Cartoon,3076
Local Multiplayer,3059
Bullet Hell,3025
Medieval,2965
Turn-Based Strategy,2952
Futuristic,2945
Sexual Content,2938
Action Roguelike,2929
Racing,2882
Turn-Based Combat,2850
Walking Simulator,2834
Choose Your Own Adventure,2788
Drama,2773
Immersive Sim,2768
Crafting,2750
